,geneSymbol,pax6_baseMean,pax6_log2FoldChange,pax6_pvalue,pax6_padj,pax6_threshold,tbr2_baseMean,tbr2_log2FoldChange,tbr2_pvalue,tbr2_padj,tbr2_threshold,neg_baseMean,neg_log2FoldChange,neg_pvalue,neg_padj,neg_threshold
ENSMUSG00000052724,Gm9888,28.03877843,0.430123505,0.039232374,0.357214734,FALSE,21.18096596,0.272200338,0.191160125,0.7517071,FALSE,10.05382297,-0.054641959,0.645919859,NA,NA
ENSMUSG00000052726,Kcnt2,80.10063253,0.28878384,0.078873316,0.510223994,FALSE,52.62727581,0.395613922,0.057313594,0.480909792,FALSE,272.5257649,0.035341839,0.81186278,0.997722504,FALSE
ENSMUSG00000052727,Map1b,35752.20411,0.122592643,0.107029702,0.585069615,FALSE,30736.83435,0.312231065,0.008969074,0.177694471,FALSE,93452.3033,0.006449587,0.941235466,0.998587315,FALSE
ENSMUSG00000052730,Gm5111,1.177776758,-0.000145532,0.998714772,NA,NA,1.185169395,-0.072717381,0.461200076,NA,NA,1.743821189,0.090532381,0.144468813,NA,NA
ENSMUSG00000052736,Klrc2,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052738,Suclg1,244.0528428,-0.081037124,0.610371681,0.944946014,FALSE,182.9037715,-0.173746963,0.181410836,0.740668168,FALSE,162.0220905,-0.007355097,0.951617706,0.998587315,FALSE
ENSMUSG00000052748,Swt1,479.8082043,-0.024061604,0.832004388,0.980547055,FALSE,268.9268027,0.109108214,0.373308321,0.875586072,FALSE,252.50132,0.15713039,0.170830868,0.931664981,FALSE
ENSMUSG00000052749,Trim30b,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052751,Repin1,387.1852855,-0.046775538,0.71253294,0.961183056,FALSE,193.195013,-0.235305442,0.077139657,0.545078047,FALSE,96.50106322,-0.057896198,0.687115902,0.992953314,FALSE
ENSMUSG00000052752,Traf7,594.4183639,-0.004410945,0.977115831,0.996770068,FALSE,309.0172204,0.078807384,0.515671008,0.925537861,FALSE,491.2092318,0.027456763,0.815389599,0.997722504,FALSE
ENSMUSG00000052759,Gpr25,0.10266275,-0.02459935,0.529597944,NA,NA,0.782635197,0.042371244,0.612150538,NA,NA,1.636219914,0.019310669,0.778564182,NA,NA
ENSMUSG00000052760,A630001G21Rik,18.95483684,0.802161868,0.000111758,0.004126268,TRUE,1.172534254,0.187910329,0.064095783,NA,NA,0.860244917,-0.013194306,0.782754832,NA,NA
ENSMUSG00000052763,Zfp212,142.6322861,0.036493652,0.810838594,0.977719579,FALSE,112.6052445,0.017576185,0.902628503,0.988934352,FALSE,132.3905479,-0.058335396,0.665917418,0.989160178,FALSE
ENSMUSG00000052767,Gm12703,10.22245585,0.159888156,0.419116951,0.889335324,FALSE,0.476994763,-0.002372528,0.973471563,NA,NA,3.808135512,0.063821637,0.491072406,NA,NA
ENSMUSG00000052769,Gm9889,48.05704704,-0.18916464,0.311616939,0.827212653,FALSE,1.903681488,0.035054947,0.777270697,NA,NA,0.884595921,0.015980418,0.761749825,NA,NA
ENSMUSG00000052776,Oas1a,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052779,4833418N17Rik,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052783,Grk4,49.76009532,0.415461524,0.029340576,0.305451501,FALSE,28.9898588,0.43212645,0.033831772,0.374660128,FALSE,23.91002155,0.067877846,0.642200878,0.989160178,FALSE
ENSMUSG00000052785,Olfr573-ps1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052790,Gm9890,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052794,1700030K09Rik,131.6548878,0.179280316,0.24649625,0.775096711,FALSE,87.08776063,0.059635827,0.708064196,0.962814023,FALSE,110.5960691,0.010810502,0.937188837,0.998587315,FALSE
ENSMUSG00000052798,Nup107,704.8351559,-0.10509503,0.446496544,0.899664931,FALSE,304.2963556,-0.147820917,0.171575835,0.724461779,FALSE,427.7877502,0.000363138,0.997403351,0.999621362,FALSE
ENSMUSG00000052812,Atad2b,995.4291794,0.074714455,0.480066349,0.91232464,FALSE,789.3763806,0.036036208,0.697251142,0.959644557,FALSE,745.8475517,0.086441564,0.384732713,0.966032646,FALSE
ENSMUSG00000052818,Olfr813,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
ENSMUSG00000052819,Best2,1.857010696,-0.089860119,0.403794091,NA,NA,0.241360821,-0.000868818,0.985216083,NA,NA,0.478659305,0.000939976,0.979139589,NA,NA
ENSMUSG00000052821,Cysltr1,0,NA,NA,NA,NA,0.123133142,-0.026923419,0.501757049,NA,NA,0.325880578,-0.003128044,0.919802814,NA,NA
